"Код специализации","Наименование специальности"                                                                          ,"Специализация"                                                                                                                               ,"Квалификация"                                               ,"Срок"
"38.06.01_02"      ,"Экономика"                                                                                           ,"Организация производства"                                                                                                                    ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_03"      ,"Экономика"                                                                                           ,"Организация производства"                                                                                                                    ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_04"      ,"Экономика"                                                                                           ,"Организация производства"                                                                                                                    ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_05"      ,"Экономика"                                                                                           ,"Организация производства"                                                                                                                    ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_06"      ,"Экономика"                                                                                           ,"Организация производства"                                                                                                                    ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_07"      ,"Экономика"                                                                                           ,"Организация производства"                                                                                                                    ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_08"      ,"Экономика"                                                                                           ,"Экономическая теория"                                                                                                                        ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_09"      ,"Экономика"                                                                                           ,"Экономическая теория"                                                                                                                        ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_10"      ,"Экономика"                                                                                           ,"Экономическая теория"                                                                                                                        ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_11"      ,"Экономика"                                                                                           ,"Экономическая теория"                                                                                                                        ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_12"      ,"Экономика"                                                                                           ,"Экономическая теория"                                                                                                                        ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_13"      ,"Экономика"                                                                                           ,"Экономическая теория"                                                                                                                        ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_14"      ,"Экономика"                                                                                           ,"Экономическая теория"                                                                                                                        ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_15"      ,"Экономика"                                                                                           ,"Экономика и управление народным хозяйством"                                                                                                  ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_16"      ,"Экономика"                                                                                           ,"Экономика и управление народным хозяйством"                                                                                                  ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_17"      ,"Экономика"                                                                                           ,"Экономика и управление народным хозяйством"                                                                                                  ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_18"      ,"Экономика"                                                                                           ,"Экономика и управление народным хозяйством"                                                                                                  ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_19"      ,"Экономика"                                                                                           ,"Экономика и управление народным хозяйством"                                                                                                  ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_20"      ,"Экономика"                                                                                           ,"Экономика и управление народным хозяйством"                                                                                                  ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_21"      ,"Экономика"                                                                                           ,"Экономика и управление народным хозяйством"                                                                                                  ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_22"      ,"Экономика"                                                                                           ,"Экономика и управление народным хозяйством"                                                                                                  ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_23"      ,"Экономика"                                                                                           ,"Математические и инструментальные методы экономики"                                                                                          ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_24"      ,"Экономика"                                                                                           ,"Математические и инструментальные методы экономики"                                                                                          ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_25"      ,"Экономика"                                                                                           ,"Математические и инструментальные методы экономики"                                                                                          ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_26"      ,"Экономика"                                                                                           ,"Математические и инструментальные методы экономики"                                                                                          ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_27"      ,"Экономика"                                                                                           ,"Математические и инструментальные методы экономики"                                                                                          ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_28"      ,"Экономика"                                                                                           ,"Математические и инструментальные методы экономики"                                                                                          ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_29"      ,"Экономика"                                                                                           ,"Математические и инструментальные методы экономики"                                                                                          ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"38.06.01_51"      ,"Экономика"                                                                                           ,"Организация производства"                                                                                                                    ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_52"      ,"Экономика"                                                                                           ,"Организация производства"                                                                                                                    ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_53"      ,"Экономика"                                                                                           ,"Организация производства"                                                                                                                    ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_54"      ,"Экономика"                                                                                           ,"Организация производства"                                                                                                                    ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_55"      ,"Экономика"                                                                                           ,"Организация производства"                                                                                                                    ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_56"      ,"Экономика"                                                                                           ,"Организация производства"                                                                                                                    ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_57"      ,"Экономика"                                                                                           ,"Организация производства"                                                                                                                    ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_58"      ,"Экономика"                                                                                           ,"Экономическая теория"                                                                                                                        ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_59"      ,"Экономика"                                                                                           ,"Экономическая теория"                                                                                                                        ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_60"      ,"Экономика"                                                                                           ,"Экономическая теория"                                                                                                                        ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_61"      ,"Экономика"                                                                                           ,"Экономическая теория"                                                                                                                        ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_62"      ,"Экономика"                                                                                           ,"Экономическая теория"                                                                                                                        ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_63"      ,"Экономика"                                                                                           ,"Экономическая теория"                                                                                                                        ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_64"      ,"Экономика"                                                                                           ,"Экономическая теория"                                                                                                                        ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_65"      ,"Экономика"                                                                                           ,"Экономика и управление народным хозяйством"                                                                                                  ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_66"      ,"Экономика"                                                                                           ,"Экономика и управление народным хозяйством"                                                                                                  ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_67"      ,"Экономика"                                                                                           ,"Экономика и управление народным хозяйством"                                                                                                  ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_68"      ,"Экономика"                                                                                           ,"Экономика и управление народным хозяйством"                                                                                                  ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_69"      ,"Экономика"                                                                                           ,"Экономика и управление народным хозяйством"                                                                                                  ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_70"      ,"Экономика"                                                                                           ,"Экономика и управление народным хозяйством"                                                                                                  ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_71"      ,"Экономика"                                                                                           ,"Экономика и управление народным хозяйством"                                                                                                  ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_72"      ,"Экономика"                                                                                           ,"Экономика и управление народным хозяйством"                                                                                                  ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_73"      ,"Экономика"                                                                                           ,"Математические и инструментальные методы экономики"                                                                                          ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_74"      ,"Экономика"                                                                                           ,"Математические и инструментальные методы экономики"                                                                                          ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_75"      ,"Экономика"                                                                                           ,"Математические и инструментальные методы экономики"                                                                                          ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_76"      ,"Экономика"                                                                                           ,"Математические и инструментальные методы экономики"                                                                                          ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_77"      ,"Экономика"                                                                                           ,"Математические и инструментальные методы экономики"                                                                                          ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_78"      ,"Экономика"                                                                                           ,"Математические и инструментальные методы экономики"                                                                                          ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"38.06.01_79"      ,"Экономика"                                                                                           ,"Математические и инструментальные методы экономики"                                                                                          ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"39.03.01_00"      ,"Социология"                                                                                          ,                                                                                                                                              ,"Бакалавр"                                                   ,"4г."
"39.03.01_01"      ,"Социология"                                                                                          ,"Социология инженерной деятельности и инновационных процессов"                                                                                ,"Бакалавр"                                                   ,"4г."
"39.03.01_71"      ,"Социология"                                                                                          ,"Социология инженерной деятельности и инновационных процессов"                                                                                ,"Бакалавр"                                                   ,"4г."
"39.06.01_00"      ,"Социологические науки"                                                                               ,                                                                                                                                              ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"39.06.01_01"      ,"Социологические науки"                                                                               ,"Социальная структура, социальные институты и процессы"                                                                                       ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"39.06.01_51"      ,"Социологические науки"                                                                               ,"Социальная структура, социальные институты и процессы"                                                                                       ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"40.04.01_01"      ,"Юриспруденция"                                                                                       ,"Правовое регулирование научно-технической деятельности.Управление интеллектуальной собственностью"                                           ,"Магистр"                                                    ,"2г."
"40.05.03_00"      ,"Судебная экспертиза"                                                                                 ,                                                                                                                                              ,"Судебный эксперт"                                           ,"5г."
"40.05.03_01"      ,"Судебная экспертиза"                                                                                 ,"Инженерно-технические экспертизы"                                                                                                            ,"Судебный эксперт"                                           ,"5г."
"40.05.03_70"      ,"Судебная экспертиза"                                                                                 ,                                                                                                                                              ,"Судебный эксперт"                                           ,"5г."
"40.05.03_71"      ,"Судебная экспертиза"                                                                                 ,"Инженерно-технические экспертизы"                                                                                                            ,"Судебный эксперт"                                           ,"5г."
"40.05.03_79"      ,"Судебная экспертиза"                                                                                 ,"Инженерно-технические экспертизы"                                                                                                            ,"Судебный эксперт"                                           ,"5г."
"40.06.01_00"      ,"Юриспруденция"                                                                                       ,                                                                                                                                              ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"40.06.01_01"      ,"Юриспруденция"                                                                                       ,"Земельное право; природоресурсное право,; экологическое право"                                                                               ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"40.06.01_51"      ,"Юриспруденция"                                                                                       ,"Земельное право; природоресурсное право,; экологическое право"                                                                               ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"41.06.01_00"      ,"Политические науки и регионоведение"                                                                 ,                                                                                                                                              ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"41.06.01_01"      ,"Политические науки и регионоведение"                                                                 ,"Политические институты, процессы и технологии"                                                                                               ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"41.06.01_51"      ,"Политические науки и регионоведение"                                                                 ,"Политические институты, процессы и технологии"                                                                                               ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"44.03.04_31"      ,"Профессиональное обучение (по отраслям)"                                                             ,"Правоведение и правоохранительная деятельность"                                                                                              ,"Бакалавр"                                                   ,"4г."
"44.03.04_32"      ,"Профессиональное обучение (по отраслям)"                                                             ,"Космический мониторинг"                                                                                                                      ,"Бакалавр"                                                   ,"4г."
"44.03.04_33"      ,"Профессиональное обучение (по отраслям)"                                                             ,"Экономика и управление"                                                                                                                      ,"Бакалавр"                                                   ,"4г."
"44.03.04_51"      ,"Профессиональное обучение (по отраслям)"                                                             ,"Государственное управление в области охраны окружающей среды и природопользования"                                                           ,"Бакалавр"                                                   ,"4г."
"44.03.04_52"      ,"Профессиональное обучение (по отраслям)"                                                             ,"Государственное управление в области охраны окружающей среды и природопользования"                                                           ,"Бакалавр"                                                   ,"5г."
"44.03.04_53"      ,"Профессиональное обучение (по отраслям)"                                                             ,"Экономика лесного сектора"                                                                                                                   ,"Бакалавр"                                                   ,"5г."
"45.03.02_00"      ,"Лингвистика"                                                                                         ,                                                                                                                                              ,"Бакалавр"                                                   ,"4г."
"45.03.02_01"      ,"Лингвистика"                                                                                         ,"Теоретическая и прикладная лингвистика"                                                                                                      ,"Бакалавр"                                                   ,"4г."
"45.03.02_02"      ,"Лингвистика"                                                                                         ,"Теория и практика межкультурных коммуникаций"                                                                                                ,"Бакалавр"                                                   ,"4г."
"45.03.02_31"      ,"Лингвистика"                                                                                         ,"Перевод и переводоведение"                                                                                                                   ,"Бакалавр"                                                   ,"4г."
"45.03.02_71"      ,"Лингвистика"                                                                                         ,"Теоретическая и прикладная лингвистика"                                                                                                      ,"Бакалавр"                                                   ,"4г."
"45.03.02_82"      ,"Лингвистика"                                                                                         ,"Теория и практика межкультурных коммуникаций"                                                                                                ,"Бакалавр"                                                   ,"4г."
"47.06.01_00"      ,"Философия, этика и религиоведение"                                                                   ,                                                                                                                                              ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"47.06.01_01"      ,"Философия, этика и религиоведение"                                                                   ,"Онтология и теория познания"                                                                                                                 ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"47.06.01_02"      ,"Философия, этика и религиоведение"                                                                   ,"История философии"                                                                                                                           ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"47.06.01_03"      ,"Философия, этика и религиоведение"                                                                   ,"Философия науки и техники"                                                                                                                   ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"47.06.01_04"      ,"Философия, этика и религиоведение"                                                                   ,"Социальная философия"                                                                                                                        ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"47.06.01_05"      ,"Философия, этика и религиоведение"                                                                   ,"Социальная философия"                                                                                                                        ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"47.06.01_51"      ,"Философия, этика и религиоведение"                                                                   ,"Онтология и теория познания"                                                                                                                 ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"47.06.01_52"      ,"Философия, этика и религиоведение"                                                                   ,"История философии"                                                                                                                           ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"47.06.01_53"      ,"Философия, этика и религиоведение"                                                                   ,"Философия науки и техники"                                                                                                                   ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"47.06.01_54"      ,"Философия, этика и религиоведение"                                                                   ,"Социальная философия"                                                                                                                        ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"47.06.01_55"      ,"Философия, этика и религиоведение"                                                                   ,"Социальная философия"                                                                                                                        ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"54.02.01_00"      ,"Дизайн (по отраслям)"                                                                                ,                                                                                                                                              ,"Техник"                                                     ,"3г. 10м."
"54.02.01_10"      ,"Дизайн (по отраслям)"                                                                                ,                                                                                                                                              ,"Техник"                                                     ,"2г. 10м."
"54.03.01_00"      ,"Дизайн"                                                                                              ,"Промышленный дизайн"                                                                                                                         ,"Бакалавр"                                                   ,"4г."
"54.03.01_01"      ,"Дизайн"                                                                                              ,"Промышленный дизайн"                                                                                                                         ,"Бакалавр"                                                   ,"4г."
"54.03.01_71"      ,"Дизайн"                                                                                              ,"Промышленный дизайн"                                                                                                                         ,"Бакалавр"                                                   ,"4г."
"54.03.01_81"      ,"Дизайн"                                                                                              ,"Промышленный дизайн"                                                                                                                         ,"Бакалавр"                                                   ,"4г."
"54.04.01_00"      ,"Дизайн"                                                                                              ,                                                                                                                                              ,"Магистр"                                                    ,"2г."
"54.04.01_01"      ,"Дизайн"                                                                                              ,"Промышленный дизайн"                                                                                                                         ,"Магистр"                                                    ,"2г."
"54.04.01_02"      ,"Дизайн"                                                                                              ,"Промышленный дизайн"                                                                                                                         ,"Магистр"                                                    ,"2г."
"54.04.01_09"      ,"Дизайн"                                                                                              ,"Промышленный дизайн"                                                                                                                         ,"Магистр"                                                    ,"2г."
"54.04.01_71"      ,"Дизайн"                                                                                              ,"Промышленный дизайн"                                                                                                                         ,"Магистр"                                                    ,"2г."
"54.04.01_79"      ,"Дизайн"                                                                                              ,                                                                                                                                              ,"Магистр"                                                    ,"2г."
"54.04.01_81"      ,"Дизайн"                                                                                              ,"Промышленный дизайн"                                                                                                                         ,"Магистр"                                                    ,"2г."
