"group","specCode"
МТ8-41А,22.06.01_03
МТ8-43А,22.06.01_51
МТ8-61Б,22.03.01_01
МТ8-62Б,22.03.01_01
МТ8-61А,18.06.01_01
МТ8-62А,22.06.01_01
МТ8-63А,22.06.01_03
МТ8-64А,22.06.01_03
МТ8-65А,22.06.01_03
МТ8-66А,22.06.01_03
МТ8-81Б,22.03.01_01
МТ8-82Б,22.03.01_01
МТ8-82А,22.06.01_03
МТ8-83А,22.06.01_53
МТ8-84А,22.06.01_03
МТ8-102А,22.06.01_53
МТ9-21Б,54.03.01_01
МТ9-22Б,54.03.01_01
МТ9-21М,54.04.01_01
МТ9-41Б,54.03.01_01
МТ9-42Б,54.03.01_01
МТ9-41М,54.04.01_01
МТ9-61Б,54.03.01_01
МТ9-62Б,54.03.01_01
МТ9-81Б,54.03.01_01
МТ10-21,15.05.01_10
МТ10-22,15.05.01_13
МТ10-21М,15.04.02_06
МТ10-21А,15.06.01_15
МТ10-41,15.05.01_10
МТ10-42,15.05.01_13
МТ10-41М,15.04.02_06
МТ10-41А,15.06.01_15
МТ10-42А,15.06.01_65
МТ10-61,15.05.01_10
МТ10-62,15.05.01_13
МТ10-61А,15.06.01_15
МТ10-81,15.05.01_10
МТ10-82,15.05.01_13
МТ10-101,15.05.01_10
МТ10-102,15.05.01_13
МТ10-121,15.05.01_10
МТ10-122,15.05.01_13
МТ11-21Б,28.03.02_02
МТ11-22Б,11.03.04_01
МТ11-23Б,28.03.02_02
МТ11-21М,11.04.04_01
МТ11-22М,28.04.02_02
МТ11-23М,11.04.04_01
МТ11-21А,11.06.01_06
МТ11-23А,09.06.01_18
МТ11-41Б,28.03.02_02
МТ11-42Б,11.03.04_01
МТ11-43Б,28.03.02_02
МТ11-44Б,11.03.04_01
МТ11-41М,11.04.04_01
МТ11-42М,28.04.02_02
МТ11-41А,11.06.01_06
МТ11-61Б,28.03.02_02
МТ11-62Б,11.03.04_01
МТ11-63Б,28.03.02_02
МТ11-61А,11.06.01_06
МТ11-62А,11.06.01_06
МТ11-63А,11.06.01_56
МТ11-81Б,28.03.02_02
МТ11-82Б,11.03.04_01
МТ11-83Б,28.03.02_02
МТ11-81А,11.06.01_06
МТ11-82А,11.06.01_06
МТ11-83А,11.06.01_06
МТ12-21,15.05.01_04
МТ12-21М,15.04.01_02
МТ12-21А,15.06.01_07
МТ12-41,15.05.01_04
МТ12-41М,15.04.01_02
МТ12-41А,15.06.01_07
МТ12-42А,15.06.01_57
МТ12-62Б,15.03.01_05
МТ12-61,15.05.01_04
МТ12-61А,15.06.01_07
МТ12-81,15.05.01_04
МТ12-81А,15.06.01_57
МТ12-101,15.05.01_04
МТ12-102А,15.06.01_57
МТ12-121,15.05.01_04
МТ13-21Б,15.03.01_02
МТ13-21М,15.04.01_03
МТ13-21А,15.06.01_16
МТ13-41Б,15.03.01_02
МТ13-41М,15.04.01_03
МТ13-41А,15.06.01_44
МТ13-61Б,15.03.01_02
МТ13-61А,15.06.01_44
МТ13-62А,15.06.01_08
МТ13-81Б,15.03.01_02
МТ13-81А,15.06.01_44
ОЭ2-21,12.05.01_22
ОЭ2-22,12.05.01_24
ОЭ2-41,12.05.01_22
ОЭ2-42,12.05.01_24
ОЭ2-61,12.05.01_22
ОЭ2-62,12.05.01_24
ОЭ2-81,12.05.01_22
ОЭ2-82,12.05.01_24
ОЭ2-101,12.05.01_22
ОЭ2-102,12.05.01_24
ОЭ2-121,12.05.01_22
ОЭ2-122,12.05.01_24
ПС1-61,24.05.06_24
ПС1-81,24.05.06_24
ПС1-101,24.05.06_24
ПС1-102,24.05.06_27
ПС1-121,24.05.06_24
ПС1-122,24.05.06_27
ПС1-123,24.05.06_28
ПС2-21,24.05.06_29
ПС2-41,24.05.06_29
ПС2-61,24.05.06_29
ПС2-81,24.05.06_29
ПС2-101,24.05.06_29
ПС2-121,24.05.06_29
ПС3-21,24.05.01_26
ПС3-41,24.05.01_26
ПС3-61,24.05.01_26
ПС3-81,24.05.01_26
ПС3-101,24.05.01_26
ПС3-121,24.05.01_26
ПС4-21,24.05.06_20
ПС4-22,24.05.06_20
ПС4-41,24.05.06_20
ПС4-42,24.05.06_20
ПС4-61,24.05.06_20
ПС4-81,24.05.06_20
